slug,schemaHash,queriesCode,favicon,version,tempFolder,createdAt,lastPublished
zora,38da4e2546600d9cac0a6b95750d3e8f29d8ff5f6a6283f68db1ed7ab9ad3e43,"import { createClient } from '@shitty-scope-name/zora'
const client = createClient()


// query variables
let networks
let sort
let where

client
  .query({
    aggregateAttributes: {
      __args: {
        networks: networks,
        sort: sort,
        where: where,
      },
      traitType: true,
      valueMetrics: {
        count: true,
        percent: true,
        value: true,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



// query variables
let networks
let where
let networks1
let where1
let networks2
let where2

client
  .query({
    aggregateStat: {
      accumulativeSales: {
        __args: {
          networks: networks,
          where: where,
        },
        count: true,
        date: true,
      },
      floorPrice: {
        __args: {
          networks: networks1,
          where: where1,
        },
      },
      nftCount: {
        __args: {
          networks: networks2,
          where: where2,
        },
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))

",https://zora.co/assets/favicon/favicon-16x16.png,0.3.0,/var/folders/8w/wvmrpgms5hngywvs8s99xnmm0000gn/T/tmp-30882-yLib4bed8OaI,2023-02-14T18:13:37.501Z,2023-04-28T12:40:11.089Z
wapm-registry,f81af9ad851657c2f1ca0eef6bfabb1acaaff9b7436527b7218ee3555285cbe1,"import { createClient } from '@shitty-scope-name/wapm-registry'
const client = createClient()


// query variables
let size = 3
let input

client
  .mutation({
    acceptNamespaceCollaboratorInvite: {
      __args: {
        input: input,
      },
      clientMutationId: true,
      namespaceCollaboratorInvite: {
        accepted: {
          createdAt: true,
          id: true,
        },
        approvedBy: {
          avatar: {
            __args: {
              size: size,
            },
          },
        },
        closedAt: true,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



// query variables
let size = 3
let input

client
  .mutation({
    acceptPackageCollaboratorInvite: {
      __args: {
        input: input,
      },
      clientMutationId: true,
      packageCollaboratorInvite: {
        accepted: {
          createdAt: true,
          id: true,
        },
        approvedBy: {
          avatar: {
            __args: {
              size: size,
            },
          },
        },
        closedAt: true,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))

",https://wapm.io/favicon.png,0.2.0,/var/folders/8w/wvmrpgms5hngywvs8s99xnmm0000gn/T/tmp-30882-VN9xkY6Vy53p,2023-02-14T18:13:37.509Z,2023-04-28T12:40:08.450Z
sourcegraph,a2383a5e4ba2fa5d4a50906997b3cfc15aff888fb14e043e0867d2f0741617a6,"import { createClient } from '@shitty-scope-name/sourcegraph'
const client = createClient()


// query variables
let after = ''
let before = ''

client
  .query({
    accessRequests: {
      __args: {
        after: after,
        before: before,
      },
      nodes: {
        additionalInfo: true,
        createdAt: true,
        email: true,
      },
      pageInfo: {
        endCursor: true,
        hasNextPage: true,
        hasPreviousPage: true,
      },
      totalCount: true,
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



client
  .query({ areExecutorsConfigured: true })
  .then((x) => console.log(JSON.stringify(x, null, 4)))

",,0.2.0,/var/folders/8w/wvmrpgms5hngywvs8s99xnmm0000gn/T/tmp-30882-vEgPUxnjJIE3,2023-02-14T18:13:37.511Z,2023-04-28T12:40:11.089Z
universe-com,ff72073c5d7a3e1f3c3aa2fc8c7dc382f91cb349d80e4792bcf8828afefa00d3,"import { createClient } from '@shitty-scope-name/universe-com'
const client = createClient()


// query variables
let id = ''

client
  .query({
    addOn: {
      __args: {
        id: id,
      },
      currency: true,
      description: true,
      eventIds: true,
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



// query variables
let id = ''
let startingDate = ''

client
  .query({
    calendarWidget: {
      __args: {
        id: id,
        startingDate: startingDate,
      },
      allowWaitlist: true,
      availableMonths: {
        months: true,
        year: true,
      },
      calendarDates: {
        calendarTimeslotIds: true,
        date: true,
        showUrgencyIndicator: true,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))",https://universe.com/multiverse/assets/apple-touch-icon-57x57-dc48dc1839e5e7401c5b4beccd693ee7.png,0.1.0,/var/folders/fc/x_42l3cj7wgdbf872w0ng30w0000gn/T/tmp-90506-ZydkjASNwvK9,,
thegraph,2d1cbaad0af30128c465d5f2c8734884a6fff598f7f603f0e68d1918506baad9,"import { createClient } from '@shitty-scope-name/thegraph'
const client = createClient()


// query variables
let subgraphId = ''

client
  .query({
    apiVersions: {
      __args: {
        subgraphId: subgraphId,
      },
      version: true,
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



// query variables
let blockHash
let network = ''

client
  .query({
    blockData: {
      __args: {
        blockHash: blockHash,
        network: network,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))

",https://storage.googleapis.com/graph-web/favicon.png,0.1.0,/var/folders/8w/wvmrpgms5hngywvs8s99xnmm0000gn/T/tmp-30882-6Kjk5y4lNWhI,2023-02-14T18:13:37.510Z,
tezos-domains,92e6714ff12686eafa3c756f27bcb984e84732310c0b8d7ca49d09e8ed718bab,"import { createClient } from '@shitty-scope-name/tezos-domains'
const client = createClient()


// query variables
let atBlock
let domainName = ''
let startedAtLevel = 3

client
  .query({
    auction: {
      __args: {
        atBlock: atBlock,
        domainName: domainName,
        startedAtLevel: startedAtLevel,
      },
      bidAmountSum: true,
      bidCount: true,
      bids: {
        amount: true,
        bidder: true,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



// query variables
let after = ''
let atBlock

client
  .query({
    auctions: {
      __args: {
        after: after,
        atBlock: atBlock,
      },
      edges: {
        cursor: true,
      },
      items: {
        bidAmountSum: true,
        bidCount: true,
      },
      pageInfo: {
        endCursor: true,
        hasNextPage: true,
        hasPreviousPage: true,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))

",https://tezos.domains/img/favicon.ico,0.1.0,/var/folders/8w/wvmrpgms5hngywvs8s99xnmm0000gn/T/tmp-30882-wwAG16EdJ1Fm,2023-02-14T18:13:37.510Z,
pokeapi,d573870e7185ab99f1e952e796d71b2b415bd5262d6d898683e55a42b816e953,"import { createClient } from '@shitty-scope-name/pokeapi'
const client = createClient()


// query variables
let distinct_on
let limit = 3

client
  .query({
    pokemon_v2_ability: {
      __args: {
        distinct_on: distinct_on,
        limit: limit,
      },
      generation_id: true,
      id: true,
      is_main_series: true,
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



// query variables
let columns
let distinct = false
let distinct_on
let limit = 3

client
  .query({
    pokemon_v2_ability_aggregate: {
      __args: {
        distinct_on: distinct_on,
        limit: limit,
      },
      aggregate: {
        count: {
          __args: {
            columns: columns,
            distinct: distinct,
          },
        },
      },
      nodes: {
        generation_id: true,
        id: true,
        is_main_series: true,
      },
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))

",https://pokeapi.co/pokeapi_192_square.png,0.1.0,/var/folders/8w/wvmrpgms5hngywvs8s99xnmm0000gn/T/tmp-30882-RkgHj7NFZtOO,2023-04-28T12:40:02.553Z,2023-04-28T12:40:11.133Z
opencollective,b26b33282f27c75db07328979165c61885003c838dbe6b07389bbe28c708a511,"import { createClient } from '@shitty-scope-name/opencollective'
const client = createClient()


// query variables
let channel
let format
let height = 3
let githubHandle = ''
let id = ''

client
  .query({
    account: {
      __args: {
        githubHandle: githubHandle,
        id: id,
      },
      activitySubscriptions: {
        __args: {
          channel: channel,
        },
        active: true,
        channel: true,
      },
      backgroundImageUrl: {
        __args: {
          format: format,
          height: height,
        },
      },
      categories: true,
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))



// query variables
let format
let height = 3
let country
let hasCustomContributionsEnabled = false
let limit = 3
let offset = 3
let tagSearchOperator

client
  .query({
    accounts: {
      __args: {
        country: country,
        hasCustomContributionsEnabled: hasCustomContributionsEnabled,
        limit: limit,
        offset: offset,
        tagSearchOperator: tagSearchOperator,
      },
      limit: true,
      nodes: {
        backgroundImageUrl: {
          __args: {
            format: format,
            height: height,
          },
        },
        categories: true,
      },
      offset: true,
    },
  })
  .then((x) => console.log(JSON.stringify(x, null, 4)))

",,0.1.0,/var/folders/8w/wvmrpgms5hngywvs8s99xnmm0000gn/T/tmp-30882-4UmdKTB7dl9R,2023-04-28T12:40:02.553Z,2023-04-28T12:40:08.865Z
